iter	Passed	Remaining
284	138067	346380
285	138488	345738
286	139036	345412
287	139609	345144
288	140297	345159
289	140706	344487
290	141188	343995
291	141664	343488
292	142076	342826
293	142614	342467
294	143044	341852
295	143684	341735
296	144379	341747
297	144997	341571
298	145447	340999
299	145857	340334
300	146333	339825
301	146785	339258
302	147291	338818
303	147816	338422
304	148305	337942
305	148804	337483
306	149286	336987
307	149744	336438
308	150179	335839
309	150815	335687
310	151358	335325
311	151771	334676
312	152243	334156
313	153002	334267
314	153779	334408
315	154374	334153
316	154890	333722
317	155770	334073
318	156304	333678
319	156980	333582
320	157478	333108
321	157950	332579
322	158473	332156
323	159062	331871
324	159626	331531
325	160173	331157
326	160795	330933
327	161459	330794
328	161946	330293
329	162474	329873
330	163123	329696
331	163612	329196
332	164045	328582
333	164658	328330
334	165330	328192
335	165941	327932
336	166586	327735
337	167071	327223
338	167542	326684
339	168285	326671
340	168753	326125
341	169280	325691
342	169797	325239
343	170404	324956
344	170907	324475
345	171748	324634
346	172312	324264
347	172879	323900
348	173376	323403
349	173967	323082
350	174601	322839
351	175060	322271
352	175511	321688
353	176202	321544
354	176760	321156
355	177214	320579
356	177794	320228
357	178295	319737
358	178745	319152
359	179285	318730
360	179737	318150
361	180261	317697
362	180675	317053
363	181132	316485
364	181697	316103
365	182280	315753
366	182972	315589
367	183438	315036
368	184008	314659
369	184893	314818
370	185557	314596
371	186123	314208
372	186757	313932
373	187263	313441
374	187831	313052
375	188428	312711
376	188886	312138
377	189570	311939
378	190386	311952
379	190960	311566
380	191537	311186
381	192154	310867
382	192743	310503
383	193390	310231
384	193919	309768
385	194610	309562
386	195111	309051
387	195614	308546
388	196142	308079
389	196626	307543
390	197086	306970
391	197555	306412
392	198004	305823
393	198575	305423
394	199073	304909
395	199661	304534
396	200241	304144
397	200832	303771
